uralex_mng	definition	definition_notes
road	A generic noun for a road of any kind.	The most typical kind of walkway for the given region (path, trail, serpentine etc.); in many cultures, ‘path’ is the correct equivalent (since ‘road’ may be taken to represent a cultural term imposed by a technologically superior civilization). (Kassian et al. 2010)
roast	A generic verb for 'roast', i.e. to cook or fry e.g. meat with dry heat.	As opposed to 'cook' (to cook by submerging to boiling liquid).
root	A generic noun for the root of a plant.	Generic term referring to roots of trees/shrubs. Not to be confused with ‘tubers’, ‘edible roots’ of specific plants, or grass roots. (Kassian et al. 2010)
rope	A generic noun for 'rope', i.e. a thick cord made by twisting or braiding smaller strands together.	Try to avoid eliciting terms for related materials such as string, twine, etc. Contexts here indicate the strength of rope, as opposed to strong or twine, which couldn't be used for the saem purposes.
rotten	A generic adjective for rotten, decayed (especially of wood).	Especially of logs. Not of fruit or food.
rough	A generic adjective for 'rough'. Antonym of 'smooth'.	
round	A generic adjective for 'round', i.e. shaped like a cylinder or a sphere.	2D round, i. e. of flat objects. Some languages lexically distinguish a third kind of roundness (terete, round in section, e.g., a stick). This term is not included in the list. (Kassian et al. 2010)
rub	A generic verb for 'rub', i.e. to move one's hand along e.g. the other hand or skin.	
run	A generic verb for 'run', i.e. move rapidly using one's legs.	In cases where there are separate words for people and animals, the verb for people should be preferred (cf. WOLD).
salt	A generic noun for 'salt', i.e. the mineral composed mainly of NaCl, used in preparing or preserving food.	Salt as natural product. Should be distinguished from specific designation of ‘packaged salt’, bought in stores; also from ‘saltlick’, ‘saltpan’, etc. (Kassian et al. 2010)
salty	A generic adjective for 'salty', i.e. tasting of salt.	
sand	A generic noun for 'sand', i.e. the very small particles of rock covering e.g. beaches and deserts.	Same contexts as in No.21 ‘earth’. Not to be confused with ‘dust’, ‘gravel’ (= ‘small stones’), ‘coarse sand’ (= ‘with small stones in it’). (Kassian et al. 2010)
say	A generic verb for 'say', i.e. to express something verbally.	A neutral designation of a single speech act. Should be distinguished from durative action (‘to talk’), but also not confused with certain special markers of direct speech, e.g., Old Indian iti. (Kassian et al. 2010)
scratch	A generic verb for 'scratch', specifically with fingernails to relieve an itch.	As with fingernails to relieve an itch.
sea	A generic noun for 'sea'.	May be the same lexeme as no. 89 'lake'.
see	A generic verb for 'see', i.e. perceive something visually.	Durative process of perception. Should not be confused with intentional action (‘to look’) or various inchoative or punctive verbs (‘glance’, ‘notice’ etc.). (Kassian et al. 2010)
seed	A generic noun for a seed of a plant.	Generic term for ‘seed’ of any plant; the word that can be applied to as many different plant species as possible. Not specifically ‘fruit-stone’, although the same root may be used for both small and large seeds. To be kept separate from more specialized terms (‘seed for sowing’, ‘moist seed’, ‘seed of a particular group of plants, e.g., cereals’). (Kassian et al. 2010)
sew	A generic verb for 'sew', i.e. to join something by making stitches with a needle.	
shadow	A generic noun for 'shadow', i.e. the dark area formed by an opaque object blocking the light source.	Both 'shade' (a dark area) and a concrete 'shadow'.
shake	A generic verb for 'shake', i.e. move an object up and down or from side to side rapidly.	
shallow	A generic adjective for 'shallow', i.e. of little depth.	
share	A generic verb for 'share'.	Occasionally overlaps with 'divide'.
sharp	A generic adjective for 'sharp', i.e. having a pointy edge capable of cutting or a fine point capable of piercing.	Antonym of no. 34 'dull'. Same contexts.
shell	A generic noun for a seashell.	
shit	A generic verb for 'shit'.	
short	A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'.	Of physical objects. Not to be confused with ‘low’, ‘short (of stature)’ (vertical, not horizontal) in languages that distinguish between the two. Antonymous to No.49 ‘long’. (Kassian et al. 2010)
shut	A generic verb for shut, close.	
sing	A generic verb for 'sing'.	
sister	A generic noun for 'sister'.	If the language has two words (younger and elder) but no generic word, include both words.
sit	A generic verb for 'sit', i.e. to remain in a sitting position.	Static verb. It is not recommended to fill in the slot with an inchoative form (‘to sit down’). Should be separated from verbs depicting specific, “non-generic” ways of sitting, such as ‘squatting’, ‘sitting in a lotus position’ etc. See No.47 ‘to lie’, No.80 ‘to stand'. (Kassian et al. 2010)
skin	A generic noun for human skin.	Human skin. (Kassian et al. 2010)
sky	A generic noun for the sky.	
sleep	A generic verb for 'sleep'.	Static verb. Should be kept apart from inchoatives like ‘to fall asleep’. (Kassian et al. 2010)
small	A generic adjective for 'small', i.e. not being large in size. Antonym of 'big'.	An adjective or verb that may be applied to different objects. The contexts are the same as in No.5 ‘big’. (Kassian et al. 2010)
smell	A generic verb for 'smell', i.e. to perceive odour.	Transitive with experiencer subject ('perceive odour') rather than intransitive source subject (e.g. 'the food smells good'). The two terms may be different in some languages.
smoke	A generic noun for smoke.	Smoke as the result of combustion of wood, grass, dry dung (not after cremation). Should be distinguished from ‘vapour’ or specific kinds of smoke (e.g., ‘(thick) black smoke’). (Kassian et al. 2010)
smooth	A generic adjective for 'smooth'. Antonym of 'rough'.	
snake	A generic noun for a reptile of the suborder Serpentes.	Generic term for ‘snake’ or ‘small snake’ (see context 2). Should be kept apart from No.109 ‘worm’ (context 1). (Kassian et al. 2010)
sniff	A generic verb for 'sniff', 'smell'.	
snow	A generic noun for (all kinds of) snow.	Not to be confused with the verb 'to snow'.
some	A pronoun with a meaning similar to English 'some'.	cf. also no. 158 'other' for similar contexts. Semantic proximity.
son-in-law	A generic noun for the husband of one's daughter.	
song	A generic noun for 'song'.	
soon	An adverb with the meaning 'within or after a short time'.	
sound_noise	A generic noun for sound or noise.	
spider	A generic noun for an insect of the class Arachnida.	
spit	A generic verb for 'spit', i.e. to eject saliva.	
split	A generic verb for 'split', i.e. to forcibly break into parts.	Transitive.
squeeze	A generic verb for 'squeeze', i.e. to firmly press something (with the fingers).	
stab	A generic verb for 'stab', i.e. thrust with a pointed instrument or weapon.	
stand	A generic verb for 'stand', i.e. remain in an upright position supported by one's feet.	Static verb. It is not recommended to fill the slot by an inchoative form like ‘to stand up’. See No.47 ‘to lie’, No.75 ‘to sit’. (Kassian et al. 2010)
star	A generic noun denoting 'star', i.e. the luminous objects visible in the sky at night.	Should be kept apart from ‘constellation’ (a group of stars) as well as names of specific stars. (Kassian et al. 2010)
stick	A generic noun for a tree branch that has fallen or been cut off a tree.	Avoid 'tree branch'. Prefer term for a piece of wood without smaller branches. Avoid terms for strongly processed pieces of wood or terms related to pieces of wood used for specific purpose (such as terms analogous with e.g. English 'staff', 'wand' etc.).
stinking	A generic adjective for stinking, smelly.	
stone	A generic verb for 'stone'.	An average-size stone that can be taken into one’s hand (and used as a tool). It is preferable to separate this term from words for notably smaller stones (‘pebble’, ‘gravel’, etc.) and notably bigger stones (‘boulder’, ‘block’ etc.). (Kassian et al. 2010)
straight	A generic adjective for 'straight', i.e. extending uniformly in one direction.	Not to be confused with 'straight ahead'.
stretch	A generic verb for 'stretch', i.e. to lengthen something by pulling.	
suck	A generic verb for 'suck', i.e. to draw something into the mouth with suction force produced with the lips and the tongue.	
summer	A generic noun for 'summer'.	
sun	A generic noun for the sun.	Not to be confused with the abstract terms ‘sunshine’, ‘heat of the sun’ etc. (Kassian et al. 2010)
sweet	A generic adjective 'sweet', i.e. having a taste characteristic of sugar or honey.	
swell	A generic verb for 'swell', i.e. to become larger or rounder in size.	
swim	A generic verb for 'swim', i.e. propel the body through water.	Of human, not of fish, other animals, or inanimate objects. Should be kept apart from more specific terms like ‘to cross, to swim across (a water body)’, ‘to bathe / wash oneself’, or designations of specific techniques of swimming. (Kassian et al. 2010)
tail	A generic noun for 'tail', i.e. the rear part of some animals.	Of mammals (not birds, fish, snakes, etc.). Generic term, applied to as many different species as possible. Not to be confused with possible narrow terms, such as ‘small tail as of a goatling’ etc. (Kassian et al. 2010)
take	A generic verb for 'take', i.e. to reach for and hold something.	
teach	A generic verb for 'teach'.	
ten	A numeral with the value 10.	
testicles	A generic noun for testicles.	Prefer medical term over colloquial terms.
that	Distal demonstrative pronoun.	Demonstrative pronoun with adjectival functions. Not to be confused with ‘another’. A complex case, since in a great part of the world’s languages the pronominal systems of spatial deixis are much more complex than the binary opposition this ~ that in Modern English. Such systems can include several degrees of proximity (both on the horizontal and vertical axis), references to the location of the speaker and the addressee, or indication of some special features of the object (e.g., animate/inanimate or visible/invisible). It is recommended to try to reveal the most basic binary opposition between ‘this’ (close) and ‘that’ (far away). If this is completely impossible, several (standardly three) pronouns should be listed as synonyms. (Kassian et al. 2010)
there	A generic adverbial denoting distal location.	A complex case, since in a great part of the world’s languages the pronominal systems of spatial deixis are much more complex than the binary opposition here ~ there in Modern English. Such systems can include several degrees of proximity (both on the horizontal and vertical axis), references to the location of the speaker and the addressee, or indication of some special features of the object (e.g., animate/inanimate or visible/invisible). It is recommended to try to reveal the most basic binary opposition between ‘here’ (close) and ‘there’ (far away). If this is completely impossible, several (standardly three) pronouns should be listed as synonyms. Elicitation may be facilitated by accompanying deictic gestures. Antonym with no. 75 'here'.
they	Third person plural pronoun.	
thick	A generic adjective denoting 'thick', i.e. having opposite sides or surfaces relatively far apart. Antonym of 'thin'.	Not to be confused with 'thick' as in 'stupid', 'dense' or 'condensed'.
thigh	A generic noun for 'thigh', i.e. the part of the human body situated between the hip and the knee.	
thin	A generic adjective for 'thin', i.e. with opposite surfaces close to each other. Antonym of 'thick'.	This could be split into 2D thin, i. e. of flat objects (examples 1-2) vs. 1D thin, i. e. of elongated objects (examples 3-4). (Kassian et al. 2010)
think	A generic verb for 'think', i.e. to use one's mind.	
this	Singular form proximal demonstrative pronoun.	See No.86 ‘that’. (Kassian et al. 2010)
three	A numeral with the value 3.	Cardinal number. It is recommendable to keep this apart from the respective element of the numeric row one, two, three, four… used in counting. Same contexts as in No.65 'one'.
throw	A generic verb for 'throw', i.e. to propel something through the air with one's hand.	
tie	A generic verb for 'tie', i.e. fasten something with e.g. string, rope or cord.	
tired	A generic adjective for 'tired'.	
tongue	A generic noun for a human tongue.	
tooth	A generic noun for 'tooth', i.e. the hard white objects inside the mouth used for biting and chewing.	Generic term; to be strictly separated from specific kinds of teeth (molars, cuspids, wisdom teeth, etc.). If no single term can be determined (e.g., in Basque, which lexically separates ‘back tooth, molar’ from ‘front tooth, incisor’ and uses the compound of both to denote ‘teeth’ in general), two roots can be taken as synonyms. Alternatively a statistical test of usage coudl identify which is the most common (basic) term. (Kassian et al. 2010)
top	A generic noun for the topmost part of a tree.	
touch	A generic verb for 'touch', i.e. to make physical contact with something.	
trap	A generic noun for a trap.	
tree	A generic noun for large woody perennial plants.	Not to be confused with designations of particular tree species, as well as the collective ‘forest’ or ‘wood (material)’. (Kassian et al. 2010)
tree_stump	A generic noun for a tree stump.	
turn	Intransitive verb for 'turn', i.e. to change direction or revolve around an axis.	Try to avoid eliciting phrasal verbs (or equivalents) with meanings such as 'turn over', 'turn around' even if these may have similar stems.
turtle	A generic noun for 'turtle'.	
twist	A generic verb for 'twist', i.e. to deform something by bending or turning.	
two	A numeral with the value 2.	Cardinal numeral. It is recommendable to keep this apart from the respective element of the numeric row one, two, three, four… used in counting. Same contexts as in No.65 'one'. (Kassian et al. 2010)
uncle	A generic noun for the brother of one's father or mother.	If the language has multiple words based on the side of the family or for elder and younger brothers, include all words.
untie	A generic verb for 'untie'.	
vomit	A generic verb for 'vomit', i.e. to eject matter from the stomach through the mouth.	Not to be confused with the noun 'vomit' or colloquial terms for the verb.
vulture	A generic noun denoting Old World vultures.	
walk	A generic verb for 'walking', i.e. moving at a normal pace using one's feet.	Not to be confused with the noun 'walk' or other forms of bipedal movement, e.g. 'run', 'wander'.
warm	A generic adjective for 'warm', i.e. of a fairly high temperature.	‘Warm’ can be understood as ‘having a temperature slightly above the norm’, with a generally positive connotation. This is a dubious and often hard to elicit item on the Swadesh list; while it should be strictly distinguished from ‘hot’, it may be useful to add ‘hot’ as a synonym (92b?) or, in the future, even to replace ‘warm’ with ‘hot’ completely. See also notes for 'cold' (23), since terms relating to weather and water may differ. (Kassian et al. 2010)
wash	A generic verb for 'wash', i.e. to clean something with water (and potentially soap).	Not 'wash body' or 'wash clothes', since these are likely to be lexicalised.
water	A generic noun for (fresh) water.	Sweet water, good for drinking. Should be kept apart from more specialized terms: ‘salt water’ (= ‘sea (water)’), ‘foul water’, ‘running / flowing water’ (= ‘stream’, ‘river’), etc. (Kassian et al. 2010)
we	First person plural pronoun.	Stylistically neutral 1st pl. person; various honorific forms must be excluded. Dual forms, if different, should not be taken into account (for simplicity reasons, since special dual stems for non-singular pronouns are not very widespread). If the languages in question make a systematic differentiation between exclusive and inclusive forms, both should be taken into account as synonyms. Direct and indirect stems. (Kassian et al. 2010)
weep	A generic verb for 'cry', i.e. express sorrow or other strong emotion by shedding tears.	
wet	A generic adjective for 'wet', i.e. not dry.	Antonym of no. 33 ‘dry’, applicable to as many different types of objects as possible (to be separated from emphatic terms such as sopping, soaking, etc.).
what	Interrogative singular pronoun used with inanimate objects.	Interrogative (not relative) pronoun, referring to an inanimate object; syntactically should be able to occupy the position of direct object. (Kassian et al. 2010)
when	A generic temporal interrogative adverb, i.e. an adverb matching the English meaning 'when'.	Interrogative pronoun.
where	A generic interrogative adverb of place, i.e. an adverb matching the English meaning 'where'.	
whistle	A generic verb for 'whistle'.	
white	A generic adjective for the color white.	
who	Interrogative singular personal pronoun.	Interrogative (not relative) pronoun, referring to an animate subject/object. (Kassian et al. 2010)
wide	A generic adjective for 'wide', i.e. measuring a large distance from one side to another. Antonym of 'narrow'.	Antonym of no. 107 'narrow'.
wife	A generic noun for 'wife', i.e. a woman in relation to her spouse.	May be the same lexeme as for 'woman'.
wind	A generic noun for 'wind', i.e. the natural movement of air.	Generic term for ‘wind’ as movement of air; should be separated from more narrow designations of particular winds (characterized, e.g., by a certain direction or a certain level of intensity), as well as special adverbial forms such as ‘alee’, etc. (Kassian et al. 2010)
wing	A generic noun for 'wing', i.e. the body part of an animal used for flying or gliding.	
wipe	A generic verb for 'wipe', i.e. to clean something by rubbing with e.g. a cloth.	
with	A generic noun modifier with the meaning 'accompanied by'.	In the sense of accompaniment (comitative) rather than instrumental.
woman	A generic noun for 'woman', i.e. a female human.	Adult human being of the female sex, antonymous to ‘man’. Should be kept apart from ‘female’ (of any species) if the latter is distinct from ‘woman’ (female human). Context No. 1 is culturally conditioned, in that X and Y should be understood as designations of typical male / female occupations for the given society (e.g., ‘hunting’, ‘cooking’, etc.). If, instead of a general term for ‘woman’, one finds differentiation by age groups, the respective lexemes for the age of ca. 20–45 must be treated as synonymous. If, instead of a general term for ‘woman’, there is an opposition by marital status (‘unmarried’ ~ ‘married’ ~ ‘widowed’), it is advisable to use the word for ‘married woman’ as the most prototypical concept. Contexts are the same as in No.51 ‘man (male)’. (Kassian et al. 2010)
woods	A generic noun for a woods or a forest.	
word	A generic noun for 'word'.	
worm	A generic noun for invertebrates with elongated cylindrical bodies, such as earthworms.	Earthworm. Not to be confused with No.106 ‘snake’ or with ‘intestinal worm’ (e.g., ‘tapeworm’) and ‘larvae’ (incl. ‘caterpillars’). (Kassian et al. 2010)
year	A generic noun for 'year'.	Should be distinguished from adverbial forms (‘annually’, ‘all the year round’, etc.); from specific nominal or adverbial designations of particular time periods (‘this year’, ‘past year’, etc.); from special terms for half-years or seasons; from ‘year’ as an age marker (‘he is five years old’, etc.). If the language has no common term for ‘year’ whatsoever, the slot should remain empty. (Kassian et al. 2010)
yellow	A generic adjective for the color yellow.	
yesterday	A generic expression denoting the day before today.	
you_pl	Third person plural pronoun.	
you_sg	Second-person singular pronoun.	Stylistically neutral 2nd pl. person; various honorific forms must be excluded. Direct stem.
younger_brother	A generic noun for 'little brother'.	
